"draw_date","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"Thu Nov 10 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1"
"Fri Nov 11 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","1","1","0","0","0","0","0","0","1","2","0","0","0","1","1","0","0","1","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0"
"Sat Nov 12 2005 07:00:00 GMT+0700 (Indochina Time)","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","0","2"
"Sun Nov 13 2005 07:00:00 GMT+0700 (Indochina Time)","0","1","1","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","1","1","1","0","0","1","1","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0"
"Mon Nov 14 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","0","0","0","0","1","0","1","1","0","2","0","0","0","0","0","1","0","1","0","1","0","0","0","0","2","0","0","0","1","0","0","0","1","1","0","0","1","0","0","2","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Tue Nov 15 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"Wed Nov 16 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0","0","3","0","0","0","1","0","0","0","0","1","0"
"Thu Nov 17 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0"
"Fri Nov 18 2005 07:00:00 GMT+0700 (Indochina Time)","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1"
"Sat Nov 19 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","2","0","0","0","2","0","0","0","0","0"
"Sun Nov 20 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","2","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mon Nov 21 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","2","0","0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","1","1","2","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"Tue Nov 22 2005 07:00:00 GMT+0700 (Indochina Time)","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0"
"Wed Nov 23 2005 07:00:00 GMT+0700 (Indochina Time)","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","2","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0"
"Thu Nov 24 2005 07:00:00 GMT+0700 (Indochina Time)","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
