"draw_date","prize1","prize2_1","prize2_2","prize3_1","prize3_2","prize3_3","prize3_4","prize3_5","prize3_6","prize4_1","prize4_2","prize4_3","prize4_4","prize5_1","prize5_2","prize5_3","prize5_4","prize5_5","prize5_6","prize6_1","prize6_2","prize6_3","prize7_1","prize7_2","prize7_3","prize7_4","special_prize"
"2005-10-21T00:00:00.000Z","25344","40830 "," 10019","81764 "," 88907 "," 31587 "," 75240 "," 27083 "," 93703","7286 "," 1679 "," 3094 "," 2775","4082 "," 6392 "," 3172 "," 8271 "," 4128 "," 3500","884 "," 958 "," 202","72 "," 85 "," 40 "," 66","59403"
"2005-10-22T00:00:00.000Z","58608","50000 "," 59179","62552 "," 13847 "," 74936 "," 68362 "," 46834 "," 01755","1159 "," 9650 "," 8860 "," 2709","9332 "," 4288 "," 9208 "," 3789 "," 9046 "," 6363","719 "," 844 "," 829","70 "," 04 "," 28 "," 88","08310"
"2005-10-23T00:00:00.000Z","76464","65666 "," 05897","88694 "," 33599 "," 34452 "," 14077 "," 02230 "," 58217","0358 "," 7676 "," 8166 "," 6355","4985 "," 1705 "," 8626 "," 4683 "," 4002 "," 7948","319 "," 941 "," 051","14 "," 20 "," 02 "," 28","69886"
"2005-10-24T00:00:00.000Z","77041","15383 "," 37721","32601 "," 96927 "," 26920 "," 29767 "," 93215 "," 13311","9620 "," 3969 "," 2789 "," 4832","1978 "," 6489 "," 0508 "," 0067 "," 9404 "," 6072","718 "," 041 "," 176","36 "," 91 "," 37 "," 67","07114"
"2005-10-25T00:00:00.000Z","92511","41704 "," 71001","83168 "," 09955 "," 86289 "," 91106 "," 05785 "," 63360","4786 "," 0888 "," 9036 "," 4371","6518 "," 9803 "," 9780 "," 8732 "," 7372 "," 5088","693 "," 402 "," 167","95 "," 54 "," 12 "," 21","25734"
"2005-10-26T00:00:00.000Z","93315","71696 "," 32690","47434 "," 56463 "," 39191 "," 02433 "," 14330 "," 50599","5568 "," 3634 "," 2236 "," 2852","4045 "," 6882 "," 0629 "," 7924 "," 4646 "," 3118","748 "," 798 "," 588","14 "," 13 "," 79 "," 95","31791"
"2005-10-27T00:00:00.000Z","49690","35862 "," 02321","46567 "," 78870 "," 90893 "," 90783 "," 10321 "," 29485","0530 "," 9859 "," 5324 "," 6220","0781 "," 8929 "," 7838 "," 1553 "," 1435 "," 6642","746 "," 979 "," 476","43 "," 04 "," 96 "," 21","79406"
"2005-10-28T00:00:00.000Z","22592","41618 "," 54256","42810 "," 16494 "," 69082 "," 81683 "," 73336 "," 30261","6396 "," 4223 "," 3719 "," 8537","6626 "," 8790 "," 4594 "," 7895 "," 2808 "," 9695","915 "," 557 "," 772","63 "," 91 "," 83 "," 87","54238"
"2005-10-29T00:00:00.000Z","77224","20409 "," 95083","99245 "," 74190 "," 84277 "," 71742 "," 10346 "," 03194","6976 "," 5696 "," 8374 "," 8380","4078 "," 0772 "," 2468 "," 9103 "," 7500 "," 3716","105 "," 898 "," 533","37 "," 44 "," 56 "," 52","27483"
"2005-10-30T00:00:00.000Z","20369","47464 "," 88428","67910 "," 87764 "," 89392 "," 25457 "," 86695 "," 81610","1719 "," 7792 "," 1777 "," 0774","9605 "," 3405 "," 2452 "," 5740 "," 1891 "," 1301","743 "," 262 "," 416","18 "," 05 "," 74 "," 21","78585"
"2005-10-31T00:00:00.000Z","90793","70953 "," 36139","79971 "," 96078 "," 92800 "," 53265 "," 76654 "," 30649","0746 "," 9431 "," 6802 "," 4693","1872 "," 7906 "," 5668 "," 7229 "," 7350 "," 3670","631 "," 231 "," 701","57 "," 34 "," 58 "," 19","23764"
"2005-11-01T00:00:00.000Z","62450","87555 "," 29525","25522 "," 92182 "," 42875 "," 15978 "," 03009 "," 05362","7099 "," 6239 "," 6981 "," 3214","3834 "," 1053 "," 5426 "," 5779 "," 0175 "," 5164","175 "," 713 "," 957","43 "," 19 "," 80 "," 53","09946"
"2005-11-02T00:00:00.000Z","83581","53359 "," 26296","86353 "," 97600 "," 47626 "," 28355 "," 08174 "," 72939","9536 "," 7807 "," 5462 "," 3958","1432 "," 4848 "," 5541 "," 9954 "," 8030 "," 1722","406 "," 704 "," 768","29 "," 07 "," 10 "," 66","47678"
"2005-11-03T00:00:00.000Z","92580","03219 "," 54951","79238 "," 24748 "," 40063 "," 06031 "," 52952 "," 35350","5043 "," 5290 "," 3617 "," 8575","3832 "," 3996 "," 5531 "," 8992 "," 2672 "," 4255","009 "," 706 "," 580","51 "," 88 "," 69 "," 48","46216"
"2005-11-04T00:00:00.000Z","11961","97651 "," 78130","50057 "," 90283 "," 79694 "," 12130 "," 57095 "," 19471","8871 "," 1215 "," 8410 "," 6465","1039 "," 1684 "," 6284 "," 4596 "," 3288 "," 5636","607 "," 424 "," 673","96 "," 73 "," 89 "," 14","06615"
"2005-11-05T00:00:00.000Z","97373","68203 "," 38830","51304 "," 68225 "," 29732 "," 80592 "," 63929 "," 75413","1199 "," 5451 "," 9542 "," 5952","2320 "," 9684 "," 9014 "," 8632 "," 5254 "," 6622","876 "," 978 "," 140","34 "," 36 "," 32 "," 69","60256"
